,data,score
0,Ba(LuS2)2,0.7314323607427056
1,Cd2GeO4,0.7210723598435463
2,Lu2WSe4,0.7314323607427056
3,Zn2GeSe4,0.7314323607427056
4,Rb2MnS4,0.7314323607427056
5,Ca2WSe4,0.6803321678321679
6,Ca2GeSe4,0.6905270655270654
7,La2WO4,0.7115384615384616
8,Rb2MnSe4,0.7115384615384616
9,In2GeO4,0.7467948717948717
10,Ba(LuSe2)2,0.7467948717948717
11,Lu2BeSe4,0.7294085631349783
12,Rb2WS4,0.7467948717948717
13,Nd2GeSe4,0.7294085631349783
14,Ge(PdO2)2,0.693156108597285
15,Na2MoS4,0.6547291993720565
16,Na2MoSe4,0.6547291993720565
17,Ca2WS4,0.693156108597285
18,Lu2ZnS4,0.6547291993720565
19,La2AlSe4,0.6547291993720565
20,Rb2WSe4,0.6547291993720565
21,Lu2ZnSe4,0.6547291993720565
22,Mg2GeS4,0.6547291993720565
23,La2GeSe4,0.6547291993720565
24,Ca(NdS2)2,0.6547291993720565
25,Lu2GeSe4,0.6547291993720565
26,Cd2MoO4,0.6547291993720565
27,Nd2GaO4,0.6742307692307692
28,La2GaO4,0.693156108597285
29,Na2MnSe4,0.6547291993720565
30,Ag2WSe4,0.6547291993720565
31,Cu2WSe4,0.6547291993720565
32,Cu2MoO4,0.6547291993720565
33,Zn2MoO4,0.6547291993720565
34,Rb2MnO4,0.6547291993720565
35,Ca(LaSe2)2,0.6547291993720565
36,Ca(GaO2)2,0.6742307692307692
37,Be(WSe2)2,0.6547291993720565
38,La2MoSe4,0.6547291993720565
39,Rb2FeO4,0.6547291993720565
40,Lu2BeS4,0.6742307692307692
41,Rb2MoO4,0.6742307692307692
42,Lu2AlSe4,0.6742307692307692
43,Cd2NiO4,0.6742307692307692
44,Ge(WSe2)2,0.6742307692307692
45,Zn2GeO4,0.7294085631349783
46,Ba(NdS2)2,0.7294085631349783
47,Ba(NdSe2)2,0.7294085631349783
48,Ca(LuS2)2,0.7223793363499246
49,Lu2WS4,0.7115384615384616
50,Ca(InSe2)2,0.7115384615384616
51,Mn(WSe2)2,0.7115384615384616
52,Mn(AlSe2)2,0.7115384615384616
53,Cd2GeSe4,0.7294085631349783
54,Nd2WSe4,0.7115384615384616
55,Nd2WO4,0.7115384615384616
56,Ga2GeO4,0.7294085631349783
57,Nd2GeS4,0.7115384615384616
58,Lu2GaSe4,0.7115384615384616
59,La(LuSe2)2,0.7115384615384616
60,La2GeO4,0.7294085631349783
61,Be(InSe2)2,0.7294085631349783
62,Ba(GaO2)2,0.7115384615384616
63,Be(GaO2)2,0.7115384615384616
64,RbV2O4,0.7115384615384616
65,BeIn2O4,0.7115384615384616
66,Rb(WSe2)2,0.7115384615384616
67,Nd2BeO4,0.7115384615384616
68,Ca(LaS2)2,0.7115384615384616
69,Cd2GeS4,0.7115384615384616
70,Ge(MoO2)2,0.7115384615384616
71,La2WSe4,0.7115384615384616
72,Na2WS4,0.7115384615384616
73,Lu2WO4,0.7115384615384616
74,Rb2MoS4,0.7115384615384616
75,Ca2GeS4,0.7115384615384616
76,Na2WSe4,0.7115384615384616
77,Nd2ZnO4,0.7115384615384616
78,Ca(LuSe2)2,0.7115384615384616
79,Ba(WSe2)2,0.7115384615384616
80,Rb2MoSe4,0.7115384615384616
81,Mg2GeSe4,0.7115384615384616
82,BeAl2O4,0.7115384615384616
83,La2WS4,0.7115384615384616
84,Ag2MoSe4,0.7115384615384616
85,Nd2BeSe4,0.7115384615384616
86,Nd2WS4,0.7115384615384616
87,Nd2GaS4,0.7294085631349783
88,La2BeSe4,0.7294085631349783
89,Rb2WO4,0.7294085631349783
90,Ca(NdSe2)2,0.7294085631349783
