formula,is gap direct,pbe gap
AlLa2Se4,1,0.0017
AlLu2Se4,0,0.0012
BaGa2O4,1,1.4392
BaLu2S4,1,2.4229
BaLu2Se4,0,0.0012
BaNd2S4,1,0.0497
BaNd2Se4,1,0.0789
BaW2Se4,0,0.003
BeAl2O4,1,6.5529
BeGa2O4,1,3.7617
BeIn2O4,1,1.7168
BeLa2Se4,0,2.2125
BeLu2Se4,1,0.234
BeW2Se4,0,0.0022
CaGa2O4,1,2.7034
CaIn2Se4,1,1.0112
CaLu2S4,1,2.5466
CaLu2Se4,1,2.2333
GaLu2Se4,0,0.0012
GaNd2S4,1,0.0001
GeCd2O4,1,0.4631
GeGa2O4,0,1.5761
GeIn2O4,0,1.9069
GeW2Se4,0,0.0004
GeZn2O4,1,1.2013
MnNa2Se4,0,0.009
MnRb2O4,0,0.0017
MnRb2S4,1,0.0025
MnRb2Se4,0,0.0046
MnW2Se4,0,0.0004
MoLa2Se4,0,0.0006
MoNa2S4,1,1.2748
MoNa2Se4,1,0.8127
MoRb2O4,0,4.2415
MoRb2S4,0,1.7563
MoRb2Se4,0,1.334
RbV2O4,0,0.0002
RbW2Se4,0,0.0009
WCa2S4,0,0.0005
WCa2Se4,0,0.0024
WLa2O4,0,0.002
WLa2S4,0,0.0001
WLa2Se4,0,0.0018
WLu2O4,1,0.0041
WLu2S4,0,0.0016
WLu2Se4,0,0.0002
WNa2S4,1,1.7361
WNa2Se4,1,1.203
WNd2O4,0,0.0001
WNd2S4,0,0.0004
WNd2Se4,0,0.0175
WRb2O4,0,4.4972
WRb2S4,0,2.191
WRb2Se4,0,1.7061
ZnLu2S4,1,0.6294
ZnLu2Se4,1,0.2026
ZnNd2O4,0,0.0001
LaLu2Se4,0,0.0001
MnAl2Se4,0,0.6293
MoAg2Se4,0,0.0066
MoCd2O4,1,0.0005
MoCu2O4,1,0.7479
MoZn2O4,0,0.0718
NiCd2O4,0,0.0004
WAg2Se4,1,0.0307
WCu2Se4,0,0.0015
BeIn2Se4,0,0.6578
BeLu2S4,1,0.5533
BeNd2O4,0,0.0002
BeNd2Se4,0,0.0009
CaLa2S4,0,2.5075
CaLa2Se4,0,2.234
CaNd2S4,0,0.0005
CaNd2Se4,0,0.001
FeRb2O4,0,0.6844
GaLa2O4,0,0.0093
GaNd2O4,1,0.0002
GeCa2S4,1,0.1383
GeCa2Se4,0,-0.0275
GeCd2S4,1,0.002
GeCd2Se4,0,0.0025
GeLa2O4,0,0.0008
GeLa2Se4,0,1.219
GeLu2Se4,0,1.266
GeMg2S4,1,0.1426
GeMg2Se4,0,-0.0413
GeMo2O4,0,0.0056
GeNd2S4,0,0.0004
GeNd2Se4,0,0.1828
GePd2O4,0,0.0006
GeZn2Se4,0,0.0013
